PERINGKAT,NAMA PROVINSI,NAMA KABUPATEN,NAMA KECAMATAN,"K0DE DESA DAGRI 72/2019",NAMA DESA,"NILAI IDM 2021","STATUS IDM DESA 2021"
"63,003",ACEH,ACEH SINGKIL,SINGKOHOR,1110132002,LAE SIPOLA,0.5529,TERTINGGAL
"63,004",ACEH,ACEH UTARA,COT GIREK,1108172004,ALUE SEUMAMBU,0.5529,TERTINGGAL
PERINGKAT,NAMA PROVINSI,NAMA KABUPATEN,NAMA KECAMATAN,"K0DE DESADAGRI 72/2019",NAMA DESA,"NILAI IDM2021","STATUS IDMDESA 2021"
"63,005",BANTEN,LEBAK,CIMARGA,3602112009,MARGALUYU,0.5529,TERTINGGAL
"63,006",BANTEN,LEBAK,SOBANG,3602222001,CIPARASI,0.5529,TERTINGGAL
"63,007",GORONTALO,BOALEMO,PAGUYAMAN PANTAI,7502072005,APITALAWU,0.5529,TERTINGGAL
"63,008",KEPULAUAN RIAU,LINGGA,KATANG BIDARE,2104112003,PULAU BUKIT,0.5529,TERTINGGAL
"63,009",MALUKU,KEPULAUAN ARU,ARU SELATAN TIMUR,8107092003,BATUGOYANG,0.5529,TERTINGGAL
"63,010",MALUKU UTARA,HALMAHERA SELATAN,KAYOA UTARA,8204132004,AKE JAILOLO,0.5529,TERTINGGAL
"63,011",MALUKU UTARA,KEPULAUAN SULA,MANGOLI SELATAN,8205122004,AUPONHIA,0.5529,TERTINGGAL
"63,012",MALUKU UTARA,PULAU MOROTAI,MOROTAI SELATAN,8207012021,FALILA,0.5529,TERTINGGAL
"63,013",SULAWESI UTARA,KEPULAUAN SANGIHE,TABUKAN SELATAN TENGAH,7103192003,TAMBUNG,0.5529,TERTINGGAL
"63,014",SUMATERA SELATAN,LAHAT,KIKIM TIMUR,1604172013,BATU URIP,0.5529,TERTINGGAL
"63,015",SUMATERA UTARA,KOTA GUNUNGSITOLI,GUNUNGSITOLI,1278012007,HILIMBARUZO,0.5529,TERTINGGAL
"63,016",SUMATERA UTARA,LABUHANBATU UTARA,KUALUH LEIDONG,1223022007,PANGKALAN LUNANG,0.5529,TERTINGGAL
"63,017",ACEH,PIDIE JAYA,MEURAH DUA,1118052003,SEUNONG,0.5527,TERTINGGAL
"63,018",BENGKULU,SELUMA,TALO KECIL,1705122010,TEBAT SIBUN,0.5527,TERTINGGAL
"63,019",KALIMANTAN BARAT,SINTANG,KAYAN HILIR,6105082021,BUKIT SEGALOH,0.5527,TERTINGGAL
"63,020",KALIMANTAN TENGAH,MURUNG RAYA,TANAH SIANG,6212022021,TABULANG,0.5527,TERTINGGAL
"63,021",KALIMANTAN UTARA,NUNUKAN,TULIN ONSOI,6503142005,KALUNSAYAN,0.5527,TERTINGGAL
