PERINGKAT,NAMA PROVINSI,NAMA KABUPATEN,NAMA KECAMATAN,"K0DE DESADAGRI 72/2019",NAMA DESA,"NILAI IDM2021","STATUS IDMDESA 2021"
"69,330",PAPUA BARAT,SORONG,MALABOTOM,9201492009,MARIK MAY,0.4905,SANGAT TERTINGGAL
"69,331",SUMATERA UTARA,NIAS,GIDO,1204062006,HILIOTALUA,0.4905,SANGAT TERTINGGAL
"69,332",PAPUA,MERAUKE,MUTING,9101022003,BOHA,0.4903,SANGAT TERTINGGAL
"69,333",PAPUA,SARMI,PANTAI BARAT,9110032005,MERTEWAR,0.4903,SANGAT TERTINGGAL
"69,334",PAPUA,SUPIORI,KEPULAUAN ARURI,9119042002,MBRURWANDI,0.4903,SANGAT TERTINGGAL
"69,335",PAPUA BARAT,SORONG,SEGET,9201062001,SEGET,0.4903,SANGAT TERTINGGAL
"69,336",PAPUA BARAT,TAMBRAUW,BAMUSBAMA,9209142005,BABAK,0.4903,SANGAT TERTINGGAL
"69,337",SUMATERA BARAT,SOLOK SELATAN,SANGIR BATANG HARI,1311052006,LUBUK ULANG ALING SELATAN,0.4903,SANGAT TERTINGGAL
"69,338",SUMATERA UTARA,NIAS SELATAN,HILISALAWA'AHE,1214232005,MANAWADANO,0.4903,SANGAT TERTINGGAL
"69,339",SUMATERA UTARA,NIAS SELATAN,ONOLALU,1214332003,HILINAMOZAUA,0.4903,SANGAT TERTINGGAL
"69,340",SUMATERA UTARA,NIAS SELATAN,ULU IDANOTAE,1214342007,HILIALO'OA,0.4903,SANGAT TERTINGGAL
"69,341",SUMATERA UTARA,NIAS UTARA,AFULU,1224092002,LAURU FADORO,0.4903,SANGAT TERTINGGAL
"69,342",SUMATERA UTARA,NIAS UTARA,ALASA TALUMUZOI,1224062005,MAZINGO,0.4903,SANGAT TERTINGGAL
"69,343",SUMATERA UTARA,TAPANULI TENGAH,SUKA BANGUN,1201182005,SIHADATUON,0.4903,SANGAT TERTINGGAL
"69,344",ACEH,BIREUEN,JEUNIEB,1111022060,ALUE LAMSABA,0.4902,SANGAT TERTINGGAL
"69,345",NUSA TENGGARA TIMUR,SIKKA,PALUE,5307062004,LADOLAKA,0.4902,SANGAT TERTINGGAL
"69,346",PAPUA,JAYAWIJAYA,MUSATFAK,9102272002,ANEGERA,0.4902,SANGAT TERTINGGAL
"69,347",PAPUA,NABIRE,YAUR,9104032001,YAUR,0.4902,SANGAT TERTINGGAL
"69,348",PAPUA BARAT,MANOKWARI,WARMARE,9202032002,INDISEY,0.4902,SANGAT TERTINGGAL
"69,349",SULAWESI SELATAN,LUWU,BASSE SANGTEMPE UTARA,7317222003,BARANA,0.4902,SANGAT TERTINGGAL
"69,350",SUMATERA UTARA,TAPANULI TENGAH,LUMUT,1201192007,SIALOGO,0.4902,SANGAT TERTINGGAL
"69,351",SUMATERA UTARA,TAPANULI TENGAH,PINANGSORI,1201042008,DANAU PANDAN,0.4902,SANGAT TERTINGGAL
"69,352",PAPUA BARAT,RAJA AMPAT,TELUK MAYALIBIT,9205092009,MUMES,0.4902,SANGAT TERTINGGAL
"69,353",ACEH,ACEH BARAT,PANTE CEUREUMEN,1105082008,SIKUNDO,0.4900,SANGAT TERTINGGAL
"69,354",NUSA TENGGARA TIMUR,MANGGARAI BARAT,MBELILING,5315102010,WAE JARE,0.4900,SANGAT TERTINGGAL
"69,355",PAPUA,MAMBERAMO RAYA,MAMBERAMO HULU,9120022008,FOKRI,0.4900,SANGAT TERTINGGAL
"69,356",PAPUA,PEGUNUNGAN BINTANG,OKBEMTAU,9112232008,OKALUT KUMAL,0.4900,SANGAT TERTINGGAL
"69,357",PAPUA,SARMI,PANTAI TIMUR BAGIAN BARAT,9110142004,DABE,0.4900,SANGAT TERTINGGAL
"69,358",PAPUA BARAT,FAK FAK,KARAS,9203062003,KIABA,0.4900,SANGAT TERTINGGAL
"69,359",PAPUA BARAT,MAYBRAT,AIFAT TIMUR,9210032006,SAWIN,0.4900,SANGAT TERTINGGAL
"69,360",PAPUA BARAT,PEGUNUNGAN ARFAK,MINYAMBAOUW,9212092030,SINALTOUSI,0.4900,SANGAT TERTINGGAL
"69,361",PAPUA BARAT,SORONG,KLAWAK,9201182004,MLAWEN,0.4900,SANGAT TERTINGGAL
"69,362",PAPUA BARAT,TELUK WONDAMA,RUMBERPON,9207062011,WETITINDAU,0.4900,SANGAT TERTINGGAL
"69,363",SULAWESI SELATAN,LUWU,BASSE SANGTEMPE UTARA,7317222012,TA'BA,0.4900,SANGAT TERTINGGAL
"69,364",SULAWESI SELATAN,LUWU,LATIMOJONG,7317122006,BONEPOSI,0.4900,SANGAT TERTINGGAL
"69,365",SULAWESI SELATAN,LUWU,LATIMOJONG,7317122009,BUNTU SAREK,0.4900,SANGAT TERTINGGAL
"69,366",SULAWESI SELATAN,LUWU,WALENRANG BARAT,7317152003,LEMPE PASANG,0.4900,SANGAT TERTINGGAL
"69,367",SUMATERA UTARA,NIAS SELATAN,MAZINO,1214132004,BAWOLAHUSA,0.4900,SANGAT TERTINGGAL
"69,368",SUMATERA UTARA,NIAS SELATAN,ONOHAZUMBA,1214222004,SISARAHILI OYO,0.4900,SANGAT TERTINGGAL
"69,369",SUMATERA UTARA,TAPANULI TENGAH,MANDUAMAS,1201052019,TAMBAHAN NANJUR,0.4900,SANGAT TERTINGGAL
"69,370",SUMATERA UTARA,TAPANULI TENGAH,PASARIBU TOBING,1201162007,SIDALING,0.4900,SANGAT TERTINGGAL
"69,371",PAPUA,BOVEN DIGOEL,INIYANDIT,9116082001,LANGGOAN,0.4898,SANGAT TERTINGGAL
"69,372",PAPUA,BOVEN DIGOEL,KOMBUT,9116072004,AMUAN,0.4898,SANGAT TERTINGGAL
"69,373",ACEH,ACEH UTARA,TANAH LUAS,1108122043,BLANG TRIENG,0.4898,SANGAT TERTINGGAL
"69,374",PAPUA BARAT,MAYBRAT,AIFAT TIMUR TENGAH,9210122002,KAMAT,0.4898,SANGAT TERTINGGAL
"69,375",PAPUA BARAT,MAYBRAT,AYAMARU TENGAH,9210202006,RINDU,0.4898,SANGAT TERTINGGAL
"69,376",PAPUA BARAT,SORONG SELATAN,MATEMANI,9204202001,MUGIM,0.4898,SANGAT TERTINGGAL
"69,377",SUMATERA UTARA,NIAS SELATAN,FANAYAMA,1214182018,HILISALAWA,0.4898,SANGAT TERTINGGAL
"69,378",SUMATERA UTARA,NIAS SELATAN,LOLOMATUA,1214012006,KOENDRAFO,0.4898,SANGAT TERTINGGAL
"69,379",SUMATERA UTARA,PADANG LAWAS UTARA,DOLOK,1220022018,GUNUNG MARIA,0.4898,SANGAT TERTINGGAL
"69,380",SUMATERA UTARA,TAPANULI UTARA,PARMONANGAN,1202112014,BATUARIMO,0.4898,SANGAT TERTINGGAL
"69,381",NUSA TENGGARA TIMUR,TIMOR TENGAH UTARA,MUSI,5303122002,OETULU,0.4897,SANGAT TERTINGGAL
"69,382",PAPUA,DOGIYAI,SUKIKAI SELATAN,9126052002,SUKIKAI,0.4897,SANGAT TERTINGGAL
"69,383",PAPUA BARAT,SORONG,BERAUR,9201042009,KLARION,0.4897,SANGAT TERTINGGAL
"69,384",PAPUA BARAT,TAMBRAUW,KEBAR,9209092027,WASANGGON,0.4897,SANGAT TERTINGGAL
"69,385",PAPUA BARAT,TAMBRAUW,MORAID,9209082003,SELEWOK,0.4897,SANGAT TERTINGGAL
"69,386",SULAWESI TENGAH,SIGI,KINOVARO,7210132005,BOLOBIA,0.4897,SANGAT TERTINGGAL
"69,387",SUMATERA UTARA,NIAS BARAT,SIROMBU,1225022010,HINAKO,0.4897,SANGAT TERTINGGAL
"69,388",SUMATERA UTARA,NIAS SELATAN,SUSUA,1214092005,HILIMBOE,0.4897,SANGAT TERTINGGAL
PERINGKAT,NAMA PROVINSI,NAMA KABUPATEN,NAMA KECAMATAN,"K0DE DESADAGRI 72/2019",NAMA DESA,"NILAI IDM2021","STATUS IDMDESA 2021"
"69,389",SUMATERA UTARA,NIAS SELATAN,ULUSUSUA,1214242005,LAHUSA SUSUA,0.4897,SANGAT TERTINGGAL
"69,390",PAPUA,PEGUNUNGAN BINTANG,BIME,9112102001,BIME,0.4895,SANGAT TERTINGGAL
"69,391",PAPUA,LANNY JAYA,MAKKI,9123032023,KOTORAMBUR,0.4895,SANGAT TERTINGGAL
"69,392",PAPUA,LANNY JAYA,MAKKI,9123032016,MAMIRI,0.4895,SANGAT TERTINGGAL
"69,393",PAPUA,LANNY JAYA,MAKKI,9123032024,YORENIME,0.4895,SANGAT TERTINGGAL
"69,394",PAPUA BARAT,PEGUNUNGAN ARFAK,MEMBEY,9212032005,KONEY,0.4895,SANGAT TERTINGGAL
